date,usd_per_oz,usd_per_gram,vnd_per_gram,vnd_per_tael
2025-01-02,2658.90,85.49,2230415,83640551
2025-01-03,2645.00,85.04,2218755,83203304
2025-01-06,2638.40,84.83,2213218,82995686
2025-01-07,2656.70,85.41,2228569,83571347
2025-01-08,2664.50,85.67,2235112,83816712
2025-01-09,2683.80,86.29,2251302,84423830
2025-01-10,2708.50,87.08,2272022,85200812
2025-01-13,2673.50,85.95,2242662,84099823
2025-01-14,2677.50,86.08,2246017,84225651
2025-01-15,2712.50,87.21,2275377,85326639
2025-01-16,2746.40,88.30,2303814,86393023
2025-01-17,2744.30,88.23,2302052,86326968
2025-01-21,2755.00,88.58,2311028,86663555
2025-01-22,2767.60,88.98,2321598,87059914
2025-01-23,2763.10,88.84,2317823,86918358
2025-01-24,2777.30,89.29,2329734,87365043
2025-01-27,2737.50,88.01,2296348,86113060
2025-01-28,2766.80,88.95,2320927,87034747
2025-01-29,2769.10,89.03,2322856,87107099
2025-01-30,2823.00,90.76,2368070,88802619
2025-01-31,2812.50,90.42,2359262,88472322
2025-02-03,2833.90,91.11,2377213,89145495
2025-02-04,2853.30,91.74,2393487,89755762
2025-02-05,2871.60,92.32,2408838,90331423
2025-02-06,2856.00,91.82,2395752,89840694
2025-02-07,2867.30,92.19,2405231,90196158
2025-02-10,2914.30,93.70,2444657,91674628
2025-02-11,2912.50,93.64,2443147,91618005
2025-02-12,2909.00,93.53,2440211,91507906
2025-02-13,2925.90,94.07,2454387,92039523
2025-02-14,2883.60,92.71,2418904,90708905
2025-02-18,2931.60,94.25,2459169,92218833
2025-02-19,2919.40,93.86,2448935,91835054
2025-02-20,2940.00,94.52,2466215,92483067
2025-02-21,2937.60,94.45,2464202,92407574
2025-02-24,2947.90,94.78,2472842,92731573
2025-02-25,2904.50,93.38,2436436,91366350
2025-02-26,2916.80,93.78,2446754,91753270
2025-02-27,2883.20,92.70,2418568,90696318
2025-02-28,2836.80,91.21,2379646,89236724
2025-03-03,2890.20,92.92,2424440,90916516
2025-03-04,2909.60,93.55,2440714,91526783
2025-03-05,2915.30,93.73,2445496,91706085
2025-03-06,2916.60,93.77,2446586,91746981
2025-03-07,2904.70,93.39,2436604,91372640
2025-03-10,2891.00,92.95,2425112,90941683
2025-03-11,2912.90,93.65,2443482,91630584
2025-03-12,2939.10,94.49,2465460,92454759
2025-03-13,2984.30,95.95,2503376,93876606
2025-03-14,2994.50,96.28,2511932,94197464
2025-03-17,3000.00,96.45,2516546,94370477
2025-03-18,3035.10,97.58,2545990,95474614
2025-03-19,3035.90,97.61,2546661,95499774
2025-03-20,3040.00,97.74,2550100,95628750
2025-03-21,3018.20,97.04,2531813,94942989
2025-03-24,3013.10,96.87,2527535,94782564
2025-03-25,3023.70,97.21,2536427,95116002
2025-03-26,3020.90,97.12,2534078,95027921
2025-03-27,3060.20,98.39,2567045,96264176
2025-03-28,3086.50,99.23,2589106,97091492
2025-03-31,3122.80,100.40,2619557,98233377
2025-04-01,3118.90,100.27,2616285,98110690
2025-04-02,3139.90,100.95,2633901,98771284
2025-04-03,3097.00,99.57,2597914,97421789
2025-04-04,3012.00,96.84,2526612,94747959
2025-04-07,2951.30,94.89,2475694,92838531
2025-04-08,2968.40,95.44,2490038,93376438
2025-04-09,3056.50,98.27,2563941,96147787
2025-04-10,3155.20,101.44,2646735,99252575
2025-04-11,3222.20,103.60,2702938,101360182
2025-04-14,3204.80,103.04,2688342,100812836
2025-04-15,3218.70,103.48,2700002,101250083
2025-04-16,3326.60,106.95,2790514,104644279
2025-04-17,3308.70,106.38,2775499,104081197
2025-04-21,3406.20,109.51,2857286,107148238
2025-04-22,3400.80,109.34,2852757,106978374
2025-04-23,3276.30,105.34,2748320,103061999
2025-04-24,3332.00,107.13,2795044,104814143
2025-04-25,3282.40,105.53,2753437,103253881
2025-04-28,3332.50,107.14,2795463,104829871
2025-04-29,3318.80,106.70,2783971,104398914
2025-04-30,3305.00,106.26,2772395,103964809
2025-05-01,3210.00,103.20,2692704,100976410
2025-05-02,3231.90,103.91,2711075,101665312
2025-05-05,3311.30,106.46,2777680,104162988
2025-05-06,3411.40,109.68,2861648,107311812
2025-05-07,3381.40,108.71,2836483,106368107
2025-05-08,3296.60,105.99,2765349,103700574
2025-05-09,3335.40,107.24,2797896,104921093
2025-05-12,3220.00,103.53,2701093,101290978
2025-05-13,3240.30,104.18,2718121,101929554
2025-05-14,3181.40,102.28,2668713,100076742
2025-05-15,3220.70,103.55,2701680,101312997
2025-05-16,3182.00,102.30,2669217,100095619
2025-05-19,3228.90,103.81,2708558,101570941
2025-05-20,3280.30,105.46,2751675,103187827
2025-05-21,3309.30,106.40,2776002,104100074
2025-05-22,3292.30,105.85,2761742,103565308
2025-05-23,3363.60,108.14,2821552,105808182
2025-05-27,3299.10,106.07,2767446,103779216
2025-05-28,3293.60,105.89,2762832,103606204
2025-05-29,3317.10,106.65,2782545,104345439
2025-05-30,3288.90,105.74,2758889,103458351
2025-06-02,3370.60,108.37,2827423,106028379
2025-06-03,3350.20,107.71,2810311,105386656
2025-06-04,3373.50,108.46,2829856,106119601
2025-06-05,3350.70,107.73,2810730,105402384
2025-06-06,3322.70,106.83,2787242,104521593
2025-06-09,3332.10,107.13,2795128,104817292
2025-06-10,3320.90,106.77,2785733,104464969
2025-06-11,3321.30,106.78,2786068,104477556
2025-06-12,3380.90,108.70,2836063,106352379
2025-06-13,3431.20,110.32,2878258,107934658
2025-06-16,3396.40,109.20,2849066,106839959
2025-06-17,3386.60,108.88,2840845,106531689
2025-06-18,3389.80,108.98,2843529,106632349
2025-06-20,3368.10,108.29,2825326,105949737
2025-06-23,3377.70,108.60,2833379,106251718
2025-06-24,3317.40,106.66,2782797,104354870
2025-06-25,3327.10,106.97,2790934,104660008
2025-06-26,3333.50,107.17,2796302,104861328
2025-06-27,3273.70,105.25,2746139,102980208
2025-06-30,3294.40,105.92,2763503,103631363
2025-07-01,3336.70,107.28,2798986,104961988
2025-07-02,3348.00,107.64,2808465,105317452
2025-07-03,3331.60,107.11,2794708,104801563
2025-07-04,3332.50,107.14,2795463,104829871
2025-07-07,3332.20,107.13,2795212,104820433
2025-07-08,3307.00,106.32,2774073,104027722
2025-07-09,3311.60,106.47,2777931,104172427
2025-07-10,3317.40,106.66,2782797,104354870
2025-07-11,3356.00,107.90,2815176,105569107
2025-07-14,3351.50,107.75,2811401,105427551
2025-07-15,3329.80,107.06,2793198,104744939
2025-07-16,3352.50,107.79,2812240,105459008
2025-07-17,3340.10,107.39,2801839,105068946
2025-07-18,3353.00,107.80,2812660,105474736
2025-07-21,3401.90,109.37,2853679,107012972
2025-07-22,3439.20,110.57,2884968,108186313
2025-07-23,3394.10,109.12,2847136,106767615
2025-07-24,3371.00,108.38,2827759,106040959
2025-07-25,3334.00,107.19,2796722,104877057
2025-07-28,3309.10,106.39,2775834,104093785
2025-07-29,3323.40,106.85,2787830,104543611
2025-07-30,3295.80,105.96,2764678,103675407
2025-07-31,3293.20,105.88,2762496,103593617
2025-08-01,3347.70,107.63,2808214,105308014
2025-08-04,3374.40,108.49,2830611,106147909
2025-08-05,3381.90,108.73,2836902,106383835
2025-08-06,3380.00,108.67,2835309,106324071
2025-08-07,3400.30,109.32,2852337,106962646
2025-08-08,3439.10,110.57,2884885,108183172
2025-08-11,3353.10,107.80,2812744,105477885
2025-08-12,3348.90,107.67,2809220,105345760
2025-08-13,3358.70,107.98,2817441,105654039
2025-08-14,3335.20,107.23,2797728,104914803
2025-08-15,3336.00,107.25,2798399,104939970
2025-08-18,3331.70,107.12,2794792,104804704
2025-08-19,3313.40,106.53,2779441,104229043
2025-08-20,3343.40,107.49,2804607,105172748
2025-08-21,3336.90,107.28,2799154,104968278
2025-08-22,3374.40,108.49,2830611,106147909
2025-08-25,3373.80,108.47,2830108,106129040
2025-08-26,3388.60,108.95,2842523,106594602
2025-08-27,3404.60,109.46,2855944,107097912
2025-08-28,3431.80,110.33,2878761,107953536
2025-08-29,3473.70,111.68,2913909,109271574
2025-09-02,3549.40,114.12,2977409,111652854
2025-09-03,3593.20,115.52,3014151,113030664
2025-09-04,3565.80,114.64,2991167,112168750
2025-09-05,3613.20,116.17,3030928,113659801
2025-09-08,3638.10,116.97,3051815,114443080
2025-09-09,3643.30,117.13,3056177,114606654
2025-09-10,3643.60,117.14,3056429,114616093
2025-09-11,3636.90,116.93,3050809,114405326
2025-09-12,3649.40,117.33,3061294,114798536
2025-09-15,3682.20,118.39,3088809,115830322
2025-09-16,3688.90,118.60,3094429,116041081
2025-09-17,3681.80,118.37,3088473,115817742
2025-09-18,3643.70,117.15,3056513,114619234
2025-09-19,3671.50,118.04,3079833,115493735
2025-09-22,3740.70,120.27,3137881,117670546
2025-09-23,3780.60,121.55,3171351,118925678
2025-09-24,3732.10,119.99,3130667,117400022
2025-09-25,3736.90,120.14,3134694,117551009
2025-09-26,3775.30,121.38,3166905,118758955
2025-09-29,3820.90,122.84,3205157,120193382
2025-09-30,3840.80,123.48,3221850,120819377
2025-10-01,3867.50,124.34,3244247,121659273
2025-10-02,3839.70,123.45,3220927,120784772
2025-10-03,3880.80,124.77,3255404,122077650
2025-10-06,3948.50,126.95,3312194,124207276
2025-10-07,3976.60,127.85,3335766,125091216
2025-10-08,4043.30,130.00,3391717,127189384
2025-10-09,3946.30,126.88,3310349,124138072
2025-10-10,3975.90,127.83,3335178,125069190
2025-10-13,4108.60,132.09,3446494,129243517
