date,usd_per_oz,usd_per_gram,vnd_per_gram,vnd_per_tael
2026-01-02,4319.31,138.87,3598115,134929325
2026-01-03,4330.47,139.23,3607419,135278201
2026-01-04,4330.51,139.23,3607453,135279469
2026-01-05,4440.27,142.76,3698880,138708000
2026-01-06,4481.55,144.08,3733267,139997529
2026-01-07,4457.25,143.30,3713025,139238445
2026-01-08,4451.56,143.12,3708287,139060754
2026-01-09,4499.75,144.67,3748433,140566256
2026-01-10,4509.85,144.99,3756843,140881623
2026-01-11,4509.83,144.99,3756830,140881113
2026-01-12,4611.33,148.26,3841382,144051815
2026-01-13,4597.78,147.82,3830093,143628487
2026-01-14,4639.43,149.16,3864785,144929451
2026-01-15,4615.51,148.39,3844864,144182384
2026-01-16,4590.59,147.59,3824100,143403757
2026-01-17,4595.31,147.74,3828036,143551332
2026-01-18,4595.29,147.74,3828017,143550651
2026-01-19,4670.82,150.17,3890938,145910185
2026-01-20,4760.80,153.06,3965893,148720978
2026-01-21,4780.28,153.69,3982123,149329605
2026-01-22,4911.87,157.92,4091739,153440229
2026-01-23,4984.67,160.26,4152387,155714529
2026-01-24,4982.48,160.19,4150562,155646057
2026-01-25,4982.45,160.19,4150539,155645222
2026-01-26,5029.16,161.69,4189449,157104322
2026-01-27,5099.20,163.94,4247788,159292045
2026-01-28,5327.18,171.27,4437705,166413950
2026-01-29,5310.53,170.74,4423837,165893899
2026-01-30,4940.67,158.85,4115729,154339856
2026-01-31,4865.46,156.43,4053079,151990459
2026-02-01,4865.42,156.43,4053050,151989371
